Name,GP,MIN,PTS,FGM,FGA,FG%,3P Made,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,TARGET_5Yrs
Brandon Ingram,36,27.4,7.4,2.6,7.6,34.7,0.5,2.1,25,1.6,2.3,69.9,0.7,3.4,4.1,1.9,0.4,0.4,1.3,no
Andrew Harrison,35,26.9,7.2,2,6.7,29.6,0.7,2.8,23.5,2.6,3.4,76.5,0.5,2,2.4,3.7,1.1,0.5,1.6,no
JaKarr Sampson,74,15.3,5.2,2,4.7,42.2,0.4,1.7,24.4,0.9,1.3,67,0.5,1.7,2.2,1,0.5,0.3,1,no
Malik Sealy,58,11.6,5.7,2.3,5.5,42.6,0.1,0.5,22.6,0.9,1.3,68.9,1,0.9,1.9,0.8,0.6,0.1,1,yes
Matt Geiger,48,11.5,4.5,1.6,3,52.4,0,0.1,0,1.3,1.9,67.4,1,1.5,2.5,0.3,0.3,0.4,0.8,yes
Tony Bennett,75,11.4,3.7,1.5,3.5,42.3,0.3,1.1,32.5,0.4,0.5,73.2,0.2,0.7,0.8,1.8,0.4,0,0.7,no
Don MacLean,62,10.9,6.6,2.5,5.8,43.5,0,0.1,50,1.5,1.8,81.1,0.5,1.4,2,0.6,0.2,0.1,0.7,yes
Tracy Murray,48,10.3,5.7,2.3,5.4,41.5,0.4,1.5,30,0.7,0.8,87.5,0.8,0.9,1.7,0.2,0.2,0.1,0.7,yes
Duane Cooper,65,9.9,2.4,1,2.4,39.2,0.1,0.5,23.3,0.4,0.5,71.4,0.2,0.6,0.8,2.3,0.3,0,1.1,no
Dave Johnson,42,8.5,3.7,1.4,3.5,38.3,0.1,0.3,21.4,1,1.4,67.8,0.4,0.7,1.1,0.3,0.2,0,0.7,no
Corey Williams,35,6.9,2.3,0.9,2.4,36.5,0,0.1,33.3,0.5,0.6,81.8,0.5,0.3,0.9,0.7,0.1,0.1,0.3,no
Sam Mack,40,6.7,3.6,1.2,3,39.8,0.1,0.6,13.6,1.1,1.5,77.6,0.5,0.8,1.2,0.4,0.3,0.1,0.6,yes
Lorenzo Williams,27,6.6,1.3,0.6,1.3,47.2,0,0,0,0.1,0.3,28.6,0.6,1.4,2,0.2,0.2,0.6,0.3,yes
P.J. Hairston,45,15.3,5.6,1.9,6,32.3,1.1,3.6,30.1,0.7,0.8,86.1,0.5,1.6,2,0.5,0.5,0.3,0.5,no
Elmore Spencer,44,6.4,2.4,1,1.9,53.7,0,0,0,0.4,0.7,50,0.4,1,1.4,0.2,0.2,0.4,0.6,yes
John Crotty,40,6.1,2.6,0.9,1.8,51.4,0.1,0.4,14.3,0.7,1,68.4,0.1,0.3,0.4,1.4,0.3,0,0.8,yes
Stephen Howard,49,5.3,2.1,0.7,1.9,37.6,0,0,0,0.7,1.1,64.2,0.5,0.7,1.2,0.2,0.3,0.2,0.5,no
Randy Woods,41,4.2,1.7,0.6,1.6,34.8,0.1,0.3,21.4,0.5,0.6,73.1,0.1,0.2,0.3,1,0.3,0,0.4,no
Larry Johnson,82,37.2,19.2,7.5,15.3,49,0.1,0.3,22.7,4.1,5,82.9,3.9,7,11,3.6,1,0.6,1.9,no
Larry Johnson,82,37.2,19.2,7.5,15.3,49,0.1,0.3,22.7,4.1,5,82.9,3.9,7,11,3.6,1,0.6,1.9,yes
Billy Owens,80,31.4,14.3,5.9,11.1,52.5,0,0.1,11.1,2.6,3.9,65.4,3,5,8,2.4,1.1,0.8,2.2,yes
Stacey Augmon,82,30.5,13.3,5.4,11,48.9,0,0.1,16.7,2.6,3.9,66.6,2.3,2.8,5.1,2.5,1.5,0.3,2.2,yes
Mark Macon,76,30.3,10.6,4.4,11.7,37.5,0.1,0.4,13.3,1.8,2.4,73,1.1,1.8,2.9,2.2,2,0.2,2,yes
Steven Smith,61,29.6,12,4.9,10.7,45.4,0.7,2,32,1.6,2.1,74.8,1.3,1.8,3.1,4.6,1,0.3,2.5,no
Mitch McGary,32,15.2,6.3,2.8,5.2,53.3,0,0.1,0,0.8,1.3,62.5,1.7,3.5,5.2,0.4,0.5,0.5,1,no
Larry Stewart,76,29.3,10.4,4,7.8,51.4,0,0,0,2.5,3.1,80.7,2.4,3.5,5.9,1.6,0.7,0.6,1.5,yes
Mike Iuzzolino,52,24.6,9.3,3.1,6.8,45.1,1.1,2.6,43.4,2.1,2.5,83.6,0.5,1.4,1.9,3.7,0.6,0,1.8,no
Doug Smith,76,22.5,8.8,3.8,9.2,41.5,0,0.1,0,1.2,1.6,73.6,1.7,3.4,5.1,1.7,0.8,0.5,1.3,yes
Paul Graham,78,22,10.1,3.9,8.7,44.7,0.7,1.8,39,1.6,2.2,74.1,0.9,2,3,2.2,1.2,0.3,1.2,no
Donald Hodge,51,20.7,8.4,3.2,6.4,49.7,0,0,0,2,2.9,66.7,2.3,3.1,5.4,0.8,0.5,0.5,1.5,yes
Dale Davis,64,20.3,6.2,2.4,4.4,55.2,0,0,0,1.4,2.4,57.2,2.5,3.9,6.4,0.5,0.4,1.2,0.8,yes
Stanley Roberts,55,20.3,10.4,4.3,8.1,52.9,0,0,0,1.8,3.6,51.5,2.1,4.1,6.1,0.7,0.4,1.5,1.4,yes
Terrell Brandon,82,19.6,7.4,3.1,7.3,41.9,0,0.3,4.3,1.2,1.5,80.6,0.6,1.4,2,3.9,1,0.3,1.7,yes
